Active Ingredient,Days Until Expiry,Storage Temperature (°C),Warning Labels Present,Dissolution Rate (%),Disintegration Time (minutes),Impurity Level (%),Assay Purity (%),Safe/Not Safe
Aspirin,806.0,22.204400876705584,1.0,92.18691236753801,13.151429495233087,0.18799520864343186,104.47616923722377,Safe
Aspirin,,15.105437170811879,0.0,98.91357750728369,20.429399845671135,0.3834617628605709,91.51753000102644,Not Safe
Paracetamol,212.0,29.736452060007515,1.0,89.231261510183,17.93524814194152,0.14796863985382275,99.98180324368084,Safe
Aspirin,197.0,21.9056203067617,1.0,96.12230093890423,17.34683446312514,0.41272283497546974,93.25165520185699,Not Safe
Aspirin,480.0,23.195201496166042,0.0,90.54136917533982,16.868826970609422,0.2846882832612578,100.51104925381728,Safe
,258.0,28.294782610321434,0.0,89.3559859148119,13.422490133989973,0.04096671725667404,93.33551548349277,Not Safe
Amoxicillin,688.0,17.408801811279126,0.0,88.92364799311972,3.7328855191506305,0.02030753156445482,103.46826001513783,Safe
Lisinopril,677.0,24.486875237441765,0.0,87.4591706940138,27.202977606481475,0.07389721976103654,93.08801676576664,Not Safe
Cetirizine,975.0,19.40133893048958,0.0,81.68064793434252,17.699212922380962,0.21743098266797387,93.68843887365466,Not Safe
Omeprazole,745.0,22.45972505563559,0.0,99.78174974172404,5.865482661874477,,102.00448885852052,Safe
Ciprofloxacin,837.0,16.314182025866153,1.0,84.96571228235254,21.406203284666372,0.06757335112124398,106.5682343265686,Not Safe
Atorvastatin,385.0,27.776510136766618,1.0,96.46497530213891,28.329921079098987,0.1276580113948397,99.42537812723127,Safe
Paracetamol,842.0,25.42099089488986,1.0,91.17004766014354,6.28626266960591,0.1344433610425215,102.66836595995505,Safe
Cetirizine,156.0,17.16073416010957,1.0,88.54081313081642,,0.10813068063376233,104.28741096623774,Safe
Ibuprofen,386.0,25.921644750190154,1.0,93.19721931619542,23.65055896529666,0.144224942773214,103.8250683575273,Safe
